CompanyName,CompanyCode,Department,Unit,Location,OU
,AEV,Office of the Chief Finance Officer,Treasury Services Group,Cebu,"OU=Treasury Services Group,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Office of the Chief Finance Officer,Treasury Services Group,Taguig,"OU=Treasury Services Group,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Venture Investments,Venture Investments,Cebu,"OU=Venture Investments,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Venture Investments,Venture Investments,Taguig,"OU=Venture Investments,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEVAVI,,,Cebu,"OU=Cebu,OU=AEV Aviation,DC=aboitizgroup,DC=net"
,AEVAVI,,,Taguig,"OU=Taguig,OU=AEV Aviation,DC=aboitizgroup,DC=net"
,AFI,,,Cebu,"OU=Cebu,OU=AFI,DC=aboitizgroup,DC=net"
,AFI,,,Taguig,"OU=Taguig,OU=AFI,DC=aboitizgroup,DC=net"
,AIC,,,Cebu,"OU=Cebu,OU=AIC,DC=aboitizgroup,DC=net"
,AIC,,,Taguig,"OU=Taguig,OU=AIC,DC=aboitizgroup,DC=net"
,EXPRO,Expro,Expro,Cebu,"OU=Cebu,OU=EXPRO,DC=aboitizgroup,DC=net"
,EXPRO,Expro,Expro,Taguig,"OU=Taguig,OU=EXPRO,DC=aboitizgroup,DC=net"
,LWC,,,,"OU=Users,OU=LWC,DC=aboitizgroup,DC=net"
,TERRA,,,Cebu,"OU=Cebu,OU=AEV Aviation,DC=aboitizgroup,DC=net"
,TERRA,,,Taguig,"OU=Taguig,OU=AEV Aviation,DC=aboitizgroup,DC=net"
Pilmico Foods Corporation,,,,Tarlac,"OU=Users,OU=Tarlac,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Animal Nutrition Corporation,,,,Tarlac,"OU=Users,OU=Tarlac,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Foods Corporation,,,,Iligan,"OU=Users,OU=Iligan,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Animal Nutrition Corporation,,,,Iligan,"OU=Users,OU=Iligan,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Foods Corporation,,,,Taguig,"OU=Users,OU=Taguig,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Animal Nutrition Corporation,,,,Taguig,"OU=Users,OU=Taguig,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Foods Corporation,,,,Vietnam,"OU=Users,OU=Vietnam,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Animal Nutrition Corporation,,,,Vietnam,"OU=Users,OU=Vietnam,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Foods Corporation,,,,Cebu,"OU=Users,OU=Cebu,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Animal Nutrition Corporation,,,,Cebu,"OU=Users,OU=Cebu,OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Foods Corporation,,,,,"OU=Pilmico,DC=aboitizgroup,DC=net"
Pilmico Animal Nutrition Corporation,,,,,"OU=Pilmico,DC=aboitizgroup,DC=net"
